Resolution,Similarity,Time
10,7.597290166039706e-5,2.379396438598633
1,1,3.487745761871338
2,0.24995790608004578,2.6177151203155518
5,0.03996817699651462,2.3651862144470215
10,0.00997204963715041,1.9771673679351807
1,1,2.8431742191314697
2,0.7614750343391068,2.308723211288452
5,0.09237152745340745,2.349479913711548
10,0.3704385824346048,2.231168270111084
1,1,3.4479875564575195
2,0.24995790608004578,2.682847738265991
5,0.03996817699651462,2.382768154144287
10,8.107357428577569e-5,2.4265894889831543
1,1,3.4126498699188232
2,0.24995790608004578,2.4229328632354736
5,0.03996817699651462,2.3242692947387695
10,0.00997204963715041,2.267955780029297
1,1,3.532227039337158
2,0.8445659813743189,2.5466644763946533
5,0.6262903331196971,2.447192907333374
10,0.34064521560505806,1.9991347789764404
1,1,3.0064282417297363
2,0.24995790608004578,2.307464361190796
5,0.03996817699651462,1.997253179550171
10,0.00997204963715041,2.1244962215423584
1,1,3.3730833530426025
2,0.8000989049758475,2.558347225189209
5,0.4098533120151574,2.3729119300842285
10,0.26893125989952876,2.3126468658447266
1,1,3.002196788787842
2,0.24995790608004578,2.2105906009674072
5,0.03996817699651462,2.0975708961486816
10,0.00997204963715041,1.9744186401367188
1,1,3.3177874088287354
2,0.7942787657067079,2.5130412578582764
5,0.5634172846827319,2.1985459327697754
10,0.3796981242440301,2.2968411445617676
1,1,2.853144645690918
2,0.24995790608004578,2.166095733642578
5,0.03996817699651462,2.177459239959717
10,0.00997204963715041,2.2268807888031006
1,1,3.308140754699707
2,0.24995790608004578,2.3872721195220947
5,0.03996817699651462,2.1631338596343994
10,0.00997204963715041,2.342034101486206
1,1,3.303091526031494
2,0.24995790608004578,2.4453554153442383
5,0.03996817699651462,2.00123929977417
10,0.00997204963715041,2.040926694869995
1,1,3.2732925415039062
2,0.6189261430047771,2.51653790473938
5,0.30329189056739747,2.3540587425231934
10,0.18638181914201898,2.213897466659546
1,1,3.3434998989105225
2,0.6713813483268517,2.5968899726867676
5,0.366645774208148,2.289750814437866
10,0.2413430513049165,2.309192419052124
1,1,3.1282169818878174
2,0.24995790608004578,2.0865583419799805
5,0.03996817699651462,2.0257251262664795
10,0.00997204963715041,2.018589496612549
1,1,3.1140975952148438
2,0.8548616491148119,2.4476847648620605
5,0.5219965435802666,2.0283215045928955
10,0.0187449735065323,1.959507942199707
1,1,2.9127438068389893
2,0.24995790608004578,2.5846924781799316
5,0.03996817699651462,2.233224868774414
10,0.00997204963715041,2.2535817623138428
1,1,3.5472402572631836
2,0.9804282381658497,2.5597267150878906
5,0.041151159890246945,2.4739325046539307
10,0.16493468263313413,2.3188953399658203
1,1,3.280550479888916
2,0.7400001525424295,2.3848369121551514
5,0.4653844513733615,2.3110883235931396
10,0.31436602550819437,2.3010153770446777
1,1,3.092313051223755
2,0.6484328197407085,2.689434289932251
5,0.3799449857510177,2.2906267642974854
10,0.20998077108907387,2.3421597480773926
1,1,2.7388598918914795
2,0.7664498741170247,2.466968059539795
5,0.4426893520564529,2.3482513427734375
